variant,class,dim,stratum,n_gt,AP50,AP50_95
V6,pedestrian,global,all,624,0.7382,0.4429
V6,two-wheeler,global,all,695,0.6333,0.3854
V6,big-vehicle,size,small,15,0.4090,0.2862
V6,car,size,small,156,0.6354,0.4456
V6,pedestrian,size,small,254,0.6873,0.4042
V6,two-wheeler,size,small,489,0.5735,0.3285
V6,big-vehicle,size,medium,104,0.4194,0.3331
V6,car,size,medium,204,0.8335,0.6805
V6,pedestrian,size,medium,370,0.7939,0.4915
V6,two-wheeler,size,medium,206,0.7722,0.5251
V6,big-vehicle,size,large,35,0.7836,0.6168
V6,car,size,large,35,0.8853,0.7537
V6,pedestrian,size,large,0,nan,nan
V6,two-wheeler,size,large,0,nan,nan
V6,big-vehicle,occlusion,no,128,0.4587,0.3548
V6,car,occlusion,no,357,0.7472,0.5818
V6,pedestrian,occlusion,no,460,0.7276,0.4330
V6,two-wheeler,occlusion,no,631,0.6460,0.3939
V6,big-vehicle,occlusion,partial,24,0.4150,0.3157
V6,car,occlusion,partial,38,0.3185,0.2129
V6,pedestrian,occlusion,partial,162,0.4432,0.2293
V6,two-wheeler,occlusion,partial,64,0.0690,0.0313
V6,big-vehicle,occlusion,heavy,2,0.0294,0.0135
V6,car,occlusion,heavy,0,nan,nan
V6,pedestrian,occlusion,heavy,2,0.0210,0.0108
V6,two-wheeler,occlusion,heavy,0,nan,nan
V6,big-vehicle,density,sparse,87,0.6605,0.5189
V6,car,density,sparse,124,0.7434,0.6061
V6,pedestrian,density,sparse,12,0.7295,0.4664
V6,two-wheeler,density,sparse,221,0.6816,0.4276
V6,big-vehicle,density,medium,66,0.2670,0.2063
V6,car,density,medium,260,0.7710,0.5811
V6,pedestrian,density,medium,535,0.7489,0.4535
V6,two-wheeler,density,medium,453,0.6131,0.3654
V6,big-vehicle,density,dense,1,0.0000,0.0000
V6,car,density,dense,11,0.7358,0.5213
V6,pedestrian,density,dense,77,0.6977,0.3912
V6,two-wheeler,density,dense,21,0.6745,0.4963
V7,big-vehicle,global,all,154,0.5370,0.3849
V7,car,global,all,395,0.7786,0.5449
V7,pedestrian,global,all,624,0.7999,0.5036
V7,two-wheeler,global,all,695,0.6761,0.4058
V7,big-vehicle,size,small,15,0.3482,0.2270
V7,car,size,small,156,0.6319,0.4356
V7,pedestrian,size,small,254,0.6938,0.3976
V7,two-wheeler,size,small,489,0.6421,0.3696
V7,big-vehicle,size,medium,104,0.6489,0.4538
V7,car,size,medium,204,0.8407,0.5865
V7,pedestrian,size,medium,370,0.8718,0.5830
V7,two-wheeler,size,medium,206,0.7725,0.5034
V7,big-vehicle,size,large,35,0.7101,0.5186
V7,car,size,large,35,0.9656,0.7659
V7,pedestrian,size,large,0,nan,nan
V7,two-wheeler,size,large,0,nan,nan
V7,big-vehicle,occlusion,no,128,0.5074,0.3538
V7,car,occlusion,no,357,0.7677,0.5435
V7,pedestrian,occlusion,no,460,0.8019,0.5076
V7,two-wheeler,occlusion,no,631,0.6714,0.4064
V7,big-vehicle,occlusion,partial,24,0.5129,0.3756
V7,car,occlusion,partial,38,0.4523,0.2422
V7,pedestrian,occlusion,partial,162,0.5151,0.2779
V7,two-wheeler,occlusion,partial,64,0.2744,0.1321
V7,big-vehicle,occlusion,heavy,2,0.0146,0.0069
V7,car,occlusion,heavy,0,nan,nan
V7,pedestrian,occlusion,heavy,2,0.0261,0.0140
V7,two-wheeler,occlusion,heavy,0,nan,nan
V7,big-vehicle,density,sparse,87,0.7745,0.5732
V7,car,density,sparse,124,0.8331,0.6272
V7,pedestrian,density,sparse,12,0.5522,0.3768
V7,two-wheeler,density,sparse,221,0.7413,0.4691
V7,big-vehicle,density,medium,66,0.1987,0.1327
V7,car,density,medium,260,0.7584,0.5129
V7,pedestrian,density,medium,535,0.8126,0.5138
V7,two-wheeler,density,medium,453,0.6510,0.3808
V7,big-vehicle,density,dense,1,0.0450,0.0109
V7,car,density,dense,11,0.7617,0.5022
V7,pedestrian,density,dense,77,0.7810,0.4867
V7,two-wheeler,density,dense,21,0.5499,0.3556
V8,big-vehicle,global,all,154,0.7108,0.4693
V8,car,global,all,395,0.8626,0.6403
V8,pedestrian,global,all,624,0.7868,0.4739
V8,two-wheeler,global,all,695,0.6735,0.3943
V8,big-vehicle,size,small,15,0.7832,0.4436
V8,car,size,small,156,0.7521,0.5168
V8,pedestrian,size,small,254,0.6802,0.3705
V8,two-wheeler,size,small,489,0.6640,0.3677
V8,big-vehicle,size,medium,104,0.7448,0.4846
V8,car,size,medium,204,0.9170,0.7093
V8,pedestrian,size,medium,370,0.8670,0.5577
V8,two-wheeler,size,medium,206,0.7284,0.4743
V8,big-vehicle,size,large,35,0.8121,0.5872
V8,car,size,large,35,0.9654,0.7972
V8,pedestrian,size,large,0,nan,nan
V8,two-wheeler,size,large,0,nan,nan
V8,big-vehicle,occlusion,no,128,0.6770,0.4379
V8,car,occlusion,no,357,0.8560,0.6413
V8,pedestrian,occlusion,no,460,0.7832,0.4796
V8,two-wheeler,occlusion,no,631,0.6813,0.3992
V8,big-vehicle,occlusion,partial,24,0.6120,0.4036
V8,car,occlusion,partial,38,0.6395,0.3698
V8,pedestrian,occlusion,partial,162,0.5256,0.2578
V8,two-wheeler,occlusion,partial,64,0.1791,0.0857
V8,big-vehicle,occlusion,heavy,2,0.4955,0.2477
V8,car,occlusion,heavy,0,nan,nan
V8,pedestrian,occlusion,heavy,2,0.0424,0.0170
V8,two-wheeler,occlusion,heavy,0,nan,nan
V8,big-vehicle,density,sparse,87,0.8640,0.5931
V8,car,density,sparse,124,0.8784,0.6922
V8,pedestrian,density,sparse,12,0.5688,0.3802
V8,two-wheeler,density,sparse,221,0.7626,0.4834
V8,big-vehicle,density,medium,66,0.5091,0.3146
V8,car,density,medium,260,0.8551,0.6213
V8,pedestrian,density,medium,535,0.8066,0.4888
V8,two-wheeler,density,medium,453,0.6350,0.3535
V8,big-vehicle,density,dense,1,0.0900,0.0360
V8,car,density,dense,11,0.9351,0.6004
V8,pedestrian,density,dense,77,0.7117,0.4139
V8,two-wheeler,density,dense,21,0.6267,0.4194
