image,n_gt,dr,miss,dup,cm_mean
hqdefault-1_jpg.rf.nVI3OO3t45dZCSg1NxrU.jpg,1,1.0,0,0,0.9119394421577454
hqdefault-2_jpg.rf.72U7QSPjzsV7qW7nUr6S.jpg,1,1.0,0,0,0.9336447715759277
hqdefault-3_jpg.rf.a7IZcF74H8rV6LzLVbbP.jpg,2,1.0,0,0,0.7912196815013885
hqdefault-3_jpg.rf.K9qyTCKqOkStU3hCaiWD.jpg,1,1.0,0,0,0.8887049555778503
hqdefault-4_jpg.rf.40L9whNUUXhfg5PHS4OG.jpg,2,0.5,1,0,0.4462777301669121
hqdefault-4_jpg.rf.9qirXETxNRUyitHT86ZN.jpg,1,1.0,0,0,0.9304550886154175
hqdefault-6_jpg.rf.IOttvL7nuG6Bvaa4Yhqp.jpg,1,1.0,0,0,0.8819024562835693
IMG-0086_jpg.rf.gjCcTQqn54CM13R6czK4.jpg,1,1.0,0,0,0.9446180462837219
IMG_0013_jpg.rf.qzHnA16jSNuCVrOCKgAK.jpg,1,1.0,0,0,0.9206207394599915
IMG_0111_jpg.rf.ObHNb6ec1dX15FO7LVHb.jpg,1,1.0,0,0,0.9501878619194031
IMG_1166_jpg.rf.bcisv9Jz37jhqjBepTos.jpg,1,1.0,0,0,0.7256227135658264
IMG_5063_jpg.rf.oiswi2dhWpR3CpHFE9PP.jpg,3,1.0,0,0,0.9073415398597717
IMG_5455-1_jpg.rf.L5CPMLJYqcbdr9kpveGT.jpg,1,1.0,0,0,0.8992086052894592
IMG_5455-2_jpg.rf.9ONGNci8v0KQrLDqmktI.jpg,1,1.0,0,0,0.8482755422592163
IMG_5456_jpg.rf.ofxeLiFuGMXe4NPPsdED.jpg,1,1.0,0,0,0.9346194267272949
IMG_5457_jpg.rf.l2eN4fhdP2WVTktxEBXB.jpg,1,1.0,0,0,0.8515281081199646
maxresdefault-12_jpg.rf.rvHZ58shiexRZkzYcNVT.jpg,1,1.0,0,0,0.6684709787368774
maxresdefault-1_jpg.rf.iXGnMaA75VBuMKY8On20.jpg,6,0.5,3,0,0.36894209884727996
maxresdefault-25_jpg.rf.eejUYKYvWRWbxxVjt4E2.jpg,1,1.0,0,0,0.9365074634552002
maxresdefault-3_jpg.rf.KnLdwEzsdyaEOixXXc9f.jpg,2,2.0,0,1,0.6278713941574097
maxresdefault-4_jpg.rf.YJnamVzH7jFBMvy81PS5.jpg,1,1.0,0,0,0.8945963382720947
maxresdefault-9_jpg.rf.dFiC7NY3NlkxNqWxzYOI.jpg,1,1.0,0,0,0.7978147864341736
maxresdefault_jpg.rf.tdup6MA6CTli2Gk7h7k3.jpg,1,1.0,0,0,0.8864420652389526
night-traffic-13_mp4-0000_jpg.rf.Kypxs8OaUMf4kcnbYscO.jpg,13,0.7692307829856873,3,0,0.557232968795758
night-traffic-13_mp4-0001_jpg.rf.SowzM5A1LlhgxylkUYPH.jpg,14,0.7857142686843872,3,0,0.5303381862384933
night-traffic-13_mp4-0002_jpg.rf.lMor2gfPCvD4wMohCfjP.jpg,13,0.7692307829856873,3,0,0.5264853283476371
night-traffic-13_mp4-0003_jpg.rf.ei5J2JAD1VfqgGQEmhui.jpg,14,0.9285714030265808,3,2,0.5100667519228799
night-traffic-13_mp4-0004_jpg.rf.AWx3GqFQ36ursACQc0vJ.jpg,15,0.6000000238418579,6,0,0.5076048376969993
night-traffic-13_mp4-0005_jpg.rf.d9YxIml0pUr4Lbr8s2Xz.jpg,15,0.6666666865348816,5,0,0.5687322938193877
night-traffic-13_mp4-0006_jpg.rf.V9GjmnyBUYZVK2BiqNRT.jpg,15,1.0,2,2,0.5570969079931577
night-traffic-13_mp4-0007_jpg.rf.zuUsxUE5SA3CuoUcOXMX.jpg,15,0.800000011920929,4,1,0.4880514739546925
night-traffic-13_mp4-0008_jpg.rf.QeSzkKj9p7mtKYpgXj2u.jpg,13,0.7692307829856873,3,0,0.6543103427482913
night-traffic-13_mp4-0009_jpg.rf.RWAhr4hWTHuk5xrgWZ7J.jpg,19,0.6315789222717285,8,1,0.4578690800867901
night-traffic-13_mp4-0010_jpg.rf.ZUCAaCZSWbWCinDj9cMK.jpg,15,0.9333333373069763,1,0,0.63577912983795
night-traffic-13_mp4-0011_jpg.rf.uHAnFs9deS6DATE0gIlw.jpg,19,0.7894737124443054,5,1,0.63382301688398
night-traffic-13_mp4-0012_jpg.rf.FOXr7NU3tIA6mnHGB6Rm.jpg,19,0.6315789222717285,7,0,0.5654279956566718
night-traffic-13_mp4-0013_jpg.rf.B6aX9vC8cF9yhUJSpBpq.jpg,19,0.7894737124443054,4,0,0.6119774252939452
night-traffic-13_mp4-0014_jpg.rf.Q7OCiaDM203pDfxNrO0s.jpg,19,0.7894737124443054,4,0,0.628358593248298
night-traffic-13_mp4-0015_jpg.rf.MKGW2KxDFFeM5UxZSmcC.jpg,22,1.0,1,1,0.6669144291769374
night-traffic-13_mp4-0016_jpg.rf.DbcNNvvjzvhX1lAHLDLC.jpg,17,0.8235294222831726,3,0,0.7271085889078677
night-traffic-13_mp4-0017_jpg.rf.d1EQNg18J81iFI8aCAGg.jpg,21,0.9047619104385376,3,1,0.5774287268519401
night-traffic-13_mp4-0018_jpg.rf.gmQrSrNExUlTAQTtWwza.jpg,21,0.8571428656578064,4,1,0.5509620253883657
night-traffic-13_mp4-0019_jpg.rf.HEYwT144CcnBX1u8wtaW.jpg,19,0.6842105388641357,6,0,0.5506672301142115
night-traffic-13_mp4-0020_jpg.rf.NxPRfRpAo3gRST2k7EcC.jpg,18,0.7777777910232544,4,0,0.6278967050214609
night-traffic-13_mp4-0021_jpg.rf.0L0D8VIV4vWUaqgJHGDl.jpg,17,0.6470588445663452,6,0,0.5224400847766768
